gene,target,biomarker
ABL1,√,√
ACPP,√,
ADA,√,
AFP,,√
AHR,√,
ALK,√,√
ANGPT1,√,
AR,√,
ASNS,√,
ASPG,√,
ATIC,√,
ATM,,√
AXL,√,
B4GALNT1,√,
BARD1,,√
BCL2,√,
BCR,√,√
BLK,√,
BMX,√,
BRAF,√,√
BRCA1,,√
BRCA2,,√
BRIP1,,√
BTK,√,
CCR4,√,
CD19,√,
CD22,√,
CD274,√,√
CD33,√,√
CD38,√,
CD3D,√,
CD3E,√,
CD3G,√,
CD52,√,√
CD79B,√,
CDA,√,
CDK4,√,
CDK6,√,
CHEK2,,√
CMAHP,√,
CRBN,√,
CSF1R,√,
CSNK1E,√,
CTLA4,√,
CYP17A1,√,
CYP19A1,√,
DDR1,√,
DDR2,√,
DHFR,√,
DNMT1,√,
DNMT3A,√,
DNMT3B,√,
EGFR,√,√
EML4,√,
EPCAM,,√
EPHA2,√,
ERBB2,√,√
ERBB3,√,
ERBB4,√,
ESR1,√,√
ESR2,√,√
EZH1,√,
EZH2,√,√
FCGR1A,√,
FGF1,√,
FGFR1,√,√
FGFR2,√,√
FGFR3,√,√
FGFR4,√,
FGR,√,
FLT1,√,
FLT3,√,√
FLT4,√,
FOLR1,√,√
FPGS,√,
FRK,√,
FYN,√,
GART,√,
GNRH1,√,
GNRHR,√,
GSR,√,
HCK,√,
HDAC1,√,
HDAC10,√,
HDAC11,√,
HDAC2,√,
HDAC3,√,
HDAC4,√,
HDAC5,√,
HDAC6,√,
HDAC7,√,
HDAC8,√,
HDAC9,√,
HGF,√,
HLA-A,,√
HPRT1,√,
HSD11B2,√,
IDH1,√,√
IDH2,√,√
IFNA2,√,
IFNAR1,√,
IFNAR2,√,
IFNB1,√,
IGF1,√,
IKZF1,√,
IKZF3,√,
IL2,√,
IL3RA,√,
IMPDH2,√,
ITK,√,
JAK1,√,
JAK2,√,
JAK3,√,
KDR,√,
KIT,√,√
KITLG,√,
KLK3,√,√
KRAS,√,√
LAG3,√,
LCK,√,
LDLR,√,
LHCGR,√,
LIG1,√,
LYN,√,
MAOA,√,
MAP1A,√,
MAP2,√,
MAP2K1,√,
MAP2K2,√,
MAP4,√,
MAPK1,√,
MAPK11,√,
MAPKAPK2,√,
MAPT,√,
MET,√,√
MLH1,,√
MRE11,,√
MRPL2,√,
MS4A1,√,√
MS4A1 ,√,
MSH2,,√
MSH6,,√
MSH6 ,,√
MTOR,√,
NBN,,√
NECTIN4,√,
NGFR,√,
NOS1,√,
NPM1,√,
NR1I2,√,
NR1I4,√,
NR3C1,√,
NTRK1,√,√
NTRK2,√,√
NTRK3,√,√
MGEA5,√,
PARP1,√,
PARP2,√,
PARP3,√,
PDCD1,√,√
PDGFA,√,
PDGFB,√,
PDGFRA,√,√
PDGFRB,√,
PGD,√,
PGF,√,
PGR,√,√
PIK3CA,√,√
PIK3CD,√,
PMEL,√,
PML,,√
PMS2,,√
POLA1,√,
POLB,√,
POLE,√,
POLE2,√,
POLE3,√,
POLE4,√,
PPAT,√,
PRIM1,√,
PRKCA,√,
PSMB1,√,
PSMB10,√,
PSMB2,√,
PSMB5,√,
PSMB8,√,
PSMB9,√,
PTGS2,√,
PTK6,√,
RAD50,,√
RAD51,,√
RAD51C,,√
RAD51D,,√
RAF1,√,
RARA,√,√
RARB,√,
RARG,√,
RET,√,√
ROS1,√,√
RPL3,√,
RRM1,√,
RRM2,√,
RRM2B,√,
RXRA,√,
RXRB,√,
RXRG,√,
SEM1,√,
SH2B3,√,
SLAMF7,√,
SLC2A2,√,
SMO,√,
SRC,√,
SSTR1,√,√
SSTR2,√,√
SSTR3,√,√
SSTR4,√,√
SSTR5,√,√
STK11,√,
STMN4,√,
TACSTD2,√,
TEC,√,
TEK,√,
TLR4,√,
TLR7,√,
TLR8,√,
TNF,√,
TNFRSF17,√,
TNFRSF8,√,
TNFSF11,√,
TOP1MT,√,
TOP2A,√,
TOP2B,√,
TUBA1A,√,
TUBA4A,√,
TUBB,√,
TUBB1,√,
TUBB3,√,
TUBD1,√,
TUBE1,√,
TUBG1,√,
TXK,√,
TXNRD1,√,
TYK2,√,
TYMS,√,
VEGFA,√,
VEGFB,√,
VEGFC,√,
VEGFD,√,
XPO1,√,
YES1,√,
